22.741,21.801,20.892,20.016,19.171,18.358,17.577,16.828,16.11,15.425,14.771,14.15,13.56,13.002,12.476,11.982,11.52,11.089,10.691,10.324,9.9895,9.6866,9.4156,9.1765,8.9693,8.794,8.6505,8.5389,8.4592,8.4114,8.3955,8.4114,8.4592,8.5389,8.6505,8.794,8.9693,9.1765,9.4156,9.6866,9.9895,10.324,10.691,11.089,11.52,11.982,12.476,13.002,13.56,14.15,14.771,15.425,16.11,16.828,17.577,18.358,19.171,20.016,20.892,21.801,22.741
22.268,21.328,20.419,19.543,18.698,17.885,17.104,16.355,15.637,14.952,14.299,13.677,13.087,12.529,12.003,11.509,11.047,10.616,10.218,9.8513,9.5166,9.2137,8.9427,8.7036,8.4964,8.3211,8.1776,8.066,7.9863,7.9385,7.9226,7.9385,7.9863,8.066,8.1776,8.3211,8.4964,8.7036,8.9427,9.2137,9.5166,9.8513,10.218,10.616,11.047,11.509,12.003,12.529,13.087,13.677,14.299,14.952,15.637,16.355,17.104,17.885,18.698,19.543,20.419,21.328,22.268
21.809,20.869,19.96,19.084,18.239,17.426,16.645,15.896,15.178,14.493,13.839,13.218,12.628,12.07,11.544,11.05,10.588,10.157,9.7587,9.3921,9.0574,8.7545,8.4835,8.2444,8.0372,7.8619,7.7184,7.6069,7.5272,7.4793,7.4634,7.4793,7.5272,7.6069,7.7184,7.8619,8.0372,8.2444,8.4835,8.7545,9.0574,9.3921,9.7587,10.157,10.588,11.05,11.544,12.07,12.628,13.218,13.839,14.493,15.178,15.896,16.645,17.426,18.239,19.084,19.96,20.869,21.809
21.364,20.423,19.515,18.638,17.793,16.98,16.199,15.45,14.733,14.047,13.394,12.772,12.182,11.625,11.099,10.604,10.142,9.7118,9.3133,8.9466,8.6119,8.3091,8.0381,7.799,7.5918,7.4164,7.273,7.1614,7.0817,7.0339,7.0179,7.0339,7.0817,7.1614,7.273,7.4164,7.5918,7.799,8.0381,8.3091,8.6119,8.9466,9.3133,9.7118,10.142,10.604,11.099,11.625,12.182,12.772,13.394,14.047,14.733,15.45,16.199,16.98,17.793,18.638,19.515,20.423,21.364
20.932,19.992,19.083,18.206,17.362,16.549,15.768,15.018,14.301,13.616,12.962,12.34,11.751,11.193,10.667,10.173,9.7104,9.28,8.8815,8.5149,8.1801,7.8773,7.6063,7.3672,7.16,6.9847,6.8412,6.7296,6.6499,6.6021,6.5862,6.6021,6.6499,6.7296,6.8412,6.9847,7.16,7.3672,7.6063,7.8773,8.1801,8.5149,8.8815,9.28,9.7104,10.173,10.667,11.193,11.751,12.34,12.962,13.616,14.301,15.018,15.768,16.549,17.362,18.206,19.083,19.992,20.932
20.514,19.574,18.665,17.788,16.943,16.131,15.349,14.6,13.883,13.198,12.544,11.922,11.333,10.775,10.249,9.7546,9.2923,8.8619,8.4634,8.0968,7.7621,7.4592,7.1882,6.9491,6.7419,6.5666,6.4231,6.3116,6.2319,6.184,6.1681,6.184,6.2319,6.3116,6.4231,6.5666,6.7419,6.9491,7.1882,7.4592,7.7621,8.0968,8.4634,8.8619,9.2923,9.7546,10.249,10.775,11.333,11.922,12.544,13.198,13.883,14.6,15.349,16.131,16.943,17.788,18.665,19.574,20.514
20.11,19.169,18.261,17.384,16.539,15.726,14.945,14.196,13.479,12.793,12.14,11.518,10.928,10.37,9.8444,9.3502,8.888,8.4576,8.0591,7.6925,7.3577,7.0549,6.7839,6.5448,6.3376,6.1622,6.0188,5.9072,5.8275,5.7797,5.7637,5.7797,5.8275,5.9072,6.0188,6.1622,6.3376,6.5448,6.7839,7.0549,7.3577,7.6925,8.0591,8.4576,8.888,9.3502,9.8444,10.37,10.928,11.518,12.14,12.793,13.479,14.196,14.945,15.726,16.539,17.384,18.261,19.169,20.11
19.719,18.779,17.87,16.993,16.148,15.336,14.554,13.805,13.088,12.403,11.749,11.127,10.538,9.9797,9.4537,8.9596,8.4973,8.0669,7.6684,7.3018,6.9671,6.6642,6.3932,6.1542,5.9469,5.7716,5.6281,5.5166,5.4369,5.389,5.3731,5.389,5.4369,5.5166,5.6281,5.7716,5.9469,6.1542,6.3932,6.6642,6.9671,7.3018,7.6684,8.0669,8.4973,8.9596,9.4537,9.9797,10.538,11.127,11.749,12.403,13.088,13.805,14.554,15.336,16.148,16.993,17.87,18.779,19.719
19.342,18.402,17.493,16.616,15.772,14.959,14.178,13.428,12.711,12.026,11.372,10.75,10.161,9.6028,9.0768,8.5826,8.1204,7.69,7.2915,6.9249,6.5901,6.2873,6.0163,5.7772,5.57,5.3947,5.2512,5.1396,5.0599,5.0121,4.9962,5.0121,5.0599,5.1396,5.2512,5.3947,5.57,5.7772,6.0163,6.2873,6.5901,6.9249,7.2915,7.69,8.1204,8.5826,9.0768,9.6028,10.161,10.75,11.372,12.026,12.711,13.428,14.178,14.959,15.772,16.616,17.493,18.402,19.342
18.979,18.038,17.13,16.253,15.408,14.595,13.814,13.065,12.348,11.662,11.009,10.387,9.7974,9.2395,8.7135,8.2194,7.7571,7.3268,6.9283,6.5616,6.2269,5.9241,5.6531,5.414,5.2068,5.0314,4.888,4.7764,4.6967,4.6489,4.6329,4.6489,4.6967,4.7764,4.888,5.0314,5.2068,5.414,5.6531,5.9241,6.2269,6.5616,6.9283,7.3268,7.7571,8.2194,8.7135,9.2395,9.7974,10.387,11.009,11.662,12.348,13.065,13.814,14.595,15.408,16.253,17.13,18.038,18.979
